44 types,File,Breaking Point,Debt,Annual Interest,Issues,# lines of code (LOC),DebtRating,DebtRatio
FluentAssertions.Equivalency.Steps .EnumerableEquivalencyValidator,Src\FluentAssertions\Equivalency\Steps\EnumerableEquivalencyValidator.cs,4y  64d,1h  54min,27min,"15 issues;FluentAssertions.Equivalency.Steps .EnumerableEquivalencyValidator violates rule 'Class with no descendant should be sealed if possible';FluentAssertions.Equivalency.Steps .EnumerableEquivalencyValidator violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency.Steps .EnumerableEquivalencyValidator .get_Recursive() violates rule 'Methods that could have a lower visibility';FluentAssertions.Equivalency.Steps .EnumerableEquivalencyValidator .get_Recursive() violates rule 'Avoid public methods not publicly visible';FluentAssertions.Equivalency.Steps .EnumerableEquivalencyValidator .set_Recursive(Boolean) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Equivalency.Steps .EnumerableEquivalencyValidator .get_OrderingRules() violates rule 'Methods that could have a lower visibility';FluentAssertions.Equivalency.Steps .EnumerableEquivalencyValidator .get_OrderingRules() violates rule 'Avoid public methods not publicly visible';FluentAssertions.Equivalency.Steps .EnumerableEquivalencyValidator .set_OrderingRules (OrderingRuleCollection) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Equivalency.Steps .EnumerableEquivalencyValidator. .ctor(IEquivalencyValidator ,IEquivalencyValidationContext) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Equivalency.Steps .EnumerableEquivalencyValidator .Execute<T>(Object[],T[]) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency.Steps .EnumerableEquivalencyValidator .Execute<T>(Object[],T[]) violates rule 'Code should be tested';FluentAssertions.Equivalency.Steps .EnumerableEquivalencyValidator .Execute<T>(Object[],T[]) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Equivalency.Steps .EnumerableEquivalencyValidator .AssertElementGraphEquivalencyWith StrictOrdering<T>(Object[],T[]) violates rule 'Code should be tested';FluentAssertions.Equivalency.Steps .EnumerableEquivalencyValidator .AssertElementGraphEquivalencyWith LooseOrdering<T>(Object[],T[]) violates rule 'Code should be tested';FluentAssertions.Equivalency.Steps .EnumerableEquivalencyValidator .LooselyMatchAgainst<T>(IList <Object>,T,Int32) violates rule 'Code should be tested'",90,C,11.73
FluentAssertions.Equivalency.Steps .StringEqualityEquivalencyStep,Src\FluentAssertions\Equivalency\Steps\StringEqualityEquivalencyStep.cs,4y  98d,38min,8min,"3 issues;FluentAssertions.Equivalency.Steps .StringEqualityEquivalencyStep violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency.Steps .StringEqualityEquivalencyStep violates rule 'Types 100% covered should be tagged with FullCoveredAttribute';FluentAssertions.Equivalency.Steps .StringEqualityEquivalencyStep .Handle(Comparands ,IEquivalencyValidationContext ,IEquivalencyValidator) violates rule 'Avoid namespaces mutually dependent'",21,C,16.92
FluentAssertions.Equivalency.Steps .ValueTypeEquivalencyStep,Src\FluentAssertions\Equivalency\Steps\ValueTypeEquivalencyStep.cs,4y  98d,38min,8min,"3 issues;FluentAssertions.Equivalency.Steps .ValueTypeEquivalencyStep violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency.Steps .ValueTypeEquivalencyStep violates rule 'Types 100% covered should be tagged with FullCoveredAttribute';FluentAssertions.Equivalency.Steps .ValueTypeEquivalencyStep.Handle (Comparands ,IEquivalencyValidationContext ,IEquivalencyValidator) violates rule 'Avoid namespaces mutually dependent'",10,D,33.83
FluentAssertions.Equivalency.Steps .XAttributeEquivalencyStep,Src\FluentAssertions\Equivalency\Steps\XAttributeEquivalencyStep.cs,4y  98d,38min,8min,"3 issues;FluentAssertions.Equivalency.Steps .XAttributeEquivalencyStep violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency.Steps .XAttributeEquivalencyStep violates rule 'Types 100% covered should be tagged with FullCoveredAttribute';FluentAssertions.Equivalency.Steps .XAttributeEquivalencyStep .OnHandle(Comparands ,IEquivalencyValidationContext ,IEquivalencyValidator) violates rule 'Avoid namespaces mutually dependent'",4,E,62.83
FluentAssertions.Equivalency.Steps .XDocumentEquivalencyStep,Src\FluentAssertions\Equivalency\Steps\XDocumentEquivalencyStep.cs,4y  98d,38min,8min,"3 issues;FluentAssertions.Equivalency.Steps .XDocumentEquivalencyStep violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency.Steps .XDocumentEquivalencyStep violates rule 'Types 100% covered should be tagged with FullCoveredAttribute';FluentAssertions.Equivalency.Steps .XDocumentEquivalencyStep.OnHandle (Comparands ,IEquivalencyValidationContext ,IEquivalencyValidator) violates rule 'Avoid namespaces mutually dependent'",4,E,62.83
FluentAssertions.Equivalency.Steps .XElementEquivalencyStep,Src\FluentAssertions\Equivalency\Steps\XElementEquivalencyStep.cs,4y  98d,38min,8min,"3 issues;FluentAssertions.Equivalency.Steps .XElementEquivalencyStep violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency.Steps .XElementEquivalencyStep violates rule 'Types 100% covered should be tagged with FullCoveredAttribute';FluentAssertions.Equivalency.Steps .XElementEquivalencyStep.OnHandle (Comparands ,IEquivalencyValidationContext ,IEquivalencyValidator) violates rule 'Avoid namespaces mutually dependent'",4,E,62.83
FluentAssertions.Common .TypeExtensions,Src\FluentAssertions\Common\TypeExtensions.cs,4y  155d,3h  36min,49min,"54 issues;FluentAssertions.Common .TypeExtensions violates rule 'Avoid types with too many methods';FluentAssertions.Common .TypeExtensions violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Common .TypeExtensions violates rule 'Types 100% covered should be tagged with FullCoveredAttribute';FluentAssertions.Common .TypeExtensions.IsDecoratedWith <TAttribute>(Type) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions.IsDecoratedWith <TAttribute>(MemberInfo) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions .IsDecoratedWithOrInherit <TAttribute>(Type) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions .IsDecoratedWithOrInherit <TAttribute>(MemberInfo) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions.IsDecoratedWith <TAttribute>(Type,Expression<Func <TAttribute,Boolean>>) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions.IsDecoratedWith <TAttribute>(MemberInfo,Expression <Func<TAttribute,Boolean>>) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions .IsDecoratedWithOrInherit <TAttribute>(Type,Expression<Func <TAttribute,Boolean>>) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions .GetMatchingAttributes<TAttribute> (Type) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions .GetMatchingAttributes<TAttribute> (Type,Expression<Func<TAttribute ,Boolean>>) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions .GetMatchingOrInheritedAttributes <TAttribute>(Type) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions .GetMatchingOrInheritedAttributes <TAttribute>(Type,Expression<Func <TAttribute,Boolean>>) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions .GetCustomAttributes<TAttribute> (MemberInfo,Boolean) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions.IsEquivalentTo (IMember,IMember) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Common .TypeExtensions.IsEquivalentTo (IMember,IMember) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions .GetClosedGenericInterfaces(Type ,Type) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions.OverridesEquals (Type) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions.FindProperty(Type ,String,MemberVisibility) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Common .TypeExtensions.FindProperty(Type ,String,MemberVisibility) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions.FindField(Type ,String,MemberVisibility) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Common .TypeExtensions.FindField(Type ,String,MemberVisibility) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions.GetMembers(Type ,MemberVisibility) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Common .TypeExtensions.GetMembers(Type ,MemberVisibility) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions.GetProperties(Type ,MemberVisibility) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Common .TypeExtensions.GetProperties(Type ,MemberVisibility) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions.GetFields(Type ,MemberVisibility) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Common .TypeExtensions.GetFields(Type ,MemberVisibility) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions .GetTypeReflectorFor(Type ,MemberVisibility) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Common .TypeExtensions.IsCSharpAbstract (Type) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions.IsCSharpSealed (Type) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions.IsCSharpStatic (Type) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions.GetMethod(Type ,String,IEnumerable<Type>) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions.HasMethod(Type ,String,IEnumerable<Type>) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions .GetParameterlessMethod(Type ,String) violates rule 'Methods that could have a lower visibility';FluentAssertions.Common .TypeExtensions .GetParameterlessMethod(Type ,String) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions.FindPropertyByName (Type,String) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions .HasExplicitlyImplementedProperty (Type,Type,String) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions .GetIndexerByParameterTypes(Type ,IEnumerable<Type>) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions.IsIndexer (PropertyInfo) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions.GetConstructor (Type,IEnumerable<Type>) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions .IsAssignableToOpenGeneric(Type ,Type) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions .IsDerivedFromOpenGeneric(Type ,Type) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions.IsUnderNamespace (Type,String) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions.IsSameOrInherits (Type,Type) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions .GetExplicitConversionOperator (Type,Type,Type) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions .GetImplicitConversionOperator (Type,Type,Type) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions.HasValueSemantics (Type) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions .IsCompilerGenerated(Type) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions.HasFriendlyName (Type) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions.IsRecord(Type) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions .NullableOrActualType(Type) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common .TypeExtensions..cctor() violates rule 'Avoid namespaces mutually dependent'",109,C,14.6
FluentAssertions.Equivalency .IEquivalencyOptions,Src\FluentAssertions\Equivalency\IEquivalencyOptions.cs,4y  208d,51min,11min,1 issue;FluentAssertions.Equivalency .IEquivalencyOptions violates rule 'Avoid interfaces too big',N/A,C,17.4
FluentAssertions .AsyncAssertionsExtensions,Src\FluentAssertions\AsyncAssertionsExtensions.cs,4y  239d,53min,11min,"4 issues;FluentAssertions .AsyncAssertionsExtensions violates rule 'Avoid namespaces mutually dependent';FluentAssertions .AsyncAssertionsExtensions violates rule 'Types 100% covered should be tagged with FullCoveredAttribute';FluentAssertions .AsyncAssertionsExtensions .WithResult<T>(Task <AndWhichConstraint <GenericAsyncFunctionAssertions<T> ,T>>,T,String,Object[]) violates rule 'Avoid namespaces mutually dependent';FluentAssertions .AsyncAssertionsExtensions .WithResult<T>(Task <AndWhichConstraint <TaskCompletionSourceAssertions<T> ,T>>,T,String,Object[]) violates rule 'Avoid namespaces mutually dependent'",8,E,55.77
FluentAssertions .ObjectAssertionsExtensions,Src\FluentAssertions\ObjectAssertionsExtensions.cs,5y  66d,1h  22min,15min,"5 issues;FluentAssertions .ObjectAssertionsExtensions violates rule 'Avoid namespaces mutually dependent';FluentAssertions .ObjectAssertionsExtensions .BeDataContractSerializable<T> (ObjectAssertions,Func <EquivalencyOptions<T> ,EquivalencyOptions<T>>,String ,Object[]) violates rule 'Avoid namespaces mutually dependent';FluentAssertions .ObjectAssertionsExtensions .BeDataContractSerializable<T> (ObjectAssertions,Func <EquivalencyOptions<T> ,EquivalencyOptions<T>>,String ,Object[]) violates rule 'Code should be tested';FluentAssertions .ObjectAssertionsExtensions .BeXmlSerializable (ObjectAssertions,String,Object[]) violates rule 'Avoid namespaces mutually dependent';FluentAssertions .ObjectAssertionsExtensions .BeXmlSerializable (ObjectAssertions,String,Object[]) violates rule 'Code should be tested'",26,D,29.89
FluentAssertions .NumericAssertionsExtensions,Src\FluentAssertions\NumericAssertionsExtensions.cs,5y  86d,3h  25min,39min,"8 issues;FluentAssertions .NumericAssertionsExtensions violates rule 'Avoid types too big';FluentAssertions .NumericAssertionsExtensions violates rule 'Types almost 100% tested should be 100% tested';FluentAssertions .NumericAssertionsExtensions .BeCloseTo(NumericAssertions<SByte >,SByte,Byte,String,Object[]) violates rule 'Avoid methods with too many overloads';FluentAssertions .NumericAssertionsExtensions .NotBeCloseTo(NumericAssertions <SByte>,SByte,Byte,String,Object[] ) violates rule 'Avoid methods with too many overloads';FluentAssertions .NumericAssertionsExtensions .BeApproximately (NullableNumericAssertions<Single> ,Single,Single,String,Object[]) violates rule 'Avoid methods with too many overloads';FluentAssertions .NumericAssertionsExtensions .NotBeApproximately (NullableNumericAssertions<Single> ,Single,Single,String,Object[]) violates rule 'Avoid methods with too many overloads';FluentAssertions .NumericAssertionsExtensions .NotBeApproximately (NumericAssertions<Single>,Single ,Single,String,Object[]) violates rule 'Code should be tested';FluentAssertions .NumericAssertionsExtensions .NotBeApproximately (NumericAssertions<Double>,Double ,Double,String,Object[]) violates rule 'Code should be tested'",279,B,7.42
FluentAssertions.Equivalency.Steps .DictionaryEquivalencyStep,Src\FluentAssertions\Equivalency\Steps\DictionaryEquivalencyStep.cs,5y  126d,58min,10min,"3 issues;FluentAssertions.Equivalency.Steps .DictionaryEquivalencyStep violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency.Steps .DictionaryEquivalencyStep .OnHandle(Comparands ,IEquivalencyValidationContext ,IEquivalencyValidator) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Equivalency.Steps .DictionaryEquivalencyStep .OnHandle(Comparands ,IEquivalencyValidationContext ,IEquivalencyValidator) violates rule 'Code should be tested'",19,D,25.94
FluentAssertions.Common.MemberPath,Src\FluentAssertions\Common\MemberPath.cs,6y  25d,1h  9min,11min,"15 issues;FluentAssertions.Common.MemberPath violates rule 'Class with no descendant should be sealed if possible';FluentAssertions.Common.MemberPath violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Common.MemberPath violates rule 'Types 100% covered should be tagged with FullCoveredAttribute';FluentAssertions.Common.MemberPath .get_MemberName() violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common.MemberPath ..ctor(IMember,String) violates rule 'Avoid namespaces mutually dependent';FluentAssertions.Common.MemberPath ..ctor(IMember,String) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common.MemberPath ..ctor(Type,Type,String) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common.MemberPath ..ctor(String) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common.MemberPath .IsParentOrChildOf(MemberPath) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common.MemberPath .IsSameAs(MemberPath) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common.MemberPath .AsParentCollectionOf(MemberPath) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common.MemberPath .IsEquivalentTo(String) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common.MemberPath .HasSameParentAs(MemberPath) violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common.MemberPath .GetContainsSpecificCollectionInde x() violates rule 'Avoid public methods not publicly visible';FluentAssertions.Common.MemberPath .WithCollectionAsRoot() violates rule 'Avoid public methods not publicly visible'",27,C,15.36
FluentAssertions.Equivalency.Steps .AutoConversionStep,Src\FluentAssertions\Equivalency\Steps\AutoConversionStep.cs,6y  59d,36min,6min,"3 issues;FluentAssertions.Equivalency.Steps .AutoConversionStep.Handle (Comparands ,IEquivalencyValidationContext ,IEquivalencyValidator) violates rule 'Code should be tested';FluentAssertions.Equivalency.Steps .AutoConversionStep.TryChangeType (Object,Type,Object&) violates rule 'Code should be tested';FluentAssertions.Equivalency.Steps .AutoConversionStep.ToString() violates rule 'Code should be tested'",27,C,13.37
FluentAssertions.Common .FullFrameworkReflector,Src\FluentAssertions\Common\FullFrameworkReflector.cs,7y  47d,33min,4min  44s,"3 issues;FluentAssertions.Common .FullFrameworkReflector violates rule 'Class with no descendant should be sealed if possible';FluentAssertions.Common .FullFrameworkReflector violates rule 'Types that could be declared as private, nested in a parent type';FluentAssertions.Common .FullFrameworkReflector .GetExportedTypes(Assembly) violates rule 'Code should be tested'",12,D,21.72
FluentAssertions .TypeEnumerableExtensions,Src\FluentAssertions\TypeEnumerableExtensions.cs,7y  235d,5h  18min,41min,"17 issues;FluentAssertions .TypeEnumerableExtensions violates rule 'Avoid namespaces mutually dependent';FluentAssertions .TypeEnumerableExtensions violates rule 'Types 100% covered should be tagged with FullCoveredAttribute';FluentAssertions .TypeEnumerableExtensions .ThatAreDecoratedWith<TAttribute> (IEnumerable<Type>) violates rule 'Avoid namespaces mutually dependent';FluentAssertions .TypeEnumerableExtensions .ThatAreDecoratedWithOrInherit <TAttribute>(IEnumerable<Type>) violates rule 'Avoid namespaces mutually dependent';FluentAssertions .TypeEnumerableExtensions .ThatAreNotDecoratedWith <TAttribute>(IEnumerable<Type>) violates rule 'Avoid namespaces mutually dependent';FluentAssertions .TypeEnumerableExtensions .ThatAreNotDecoratedWithOrInherit <TAttribute>(IEnumerable<Type>) violates rule 'Avoid namespaces mutually dependent';FluentAssertions .TypeEnumerableExtensions .ThatAreInNamespace(IEnumerable <Type>,String) violates rule 'Avoid namespaces mutually dependent';FluentAssertions .TypeEnumerableExtensions .ThatAreUnderNamespace(IEnumerable <Type>,String) violates rule 'Avoid namespaces mutually dependent';FluentAssertions .TypeEnumerableExtensions .ThatDeriveFrom<T>(IEnumerable <Type>) violates rule 'Avoid namespaces mutually dependent';FluentAssertions .TypeEnumerableExtensions .ThatImplement<T>(IEnumerable<Type >) violates rule 'Avoid namespaces mutually dependent';FluentAssertions .TypeEnumerableExtensions .ThatAreClasses(IEnumerable<Type>) violates rule 'Avoid namespaces mutually dependent';FluentAssertions .TypeEnumerableExtensions .ThatAreNotClasses(IEnumerable <Type>) violates rule 'Avoid namespaces mutually dependent';FluentAssertions .TypeEnumerableExtensions .ThatAreStatic(IEnumerable<Type>) violates rule 'Avoid namespaces mutually dependent';FluentAssertions .TypeEnumerableExtensions .ThatAreNotStatic(IEnumerable<Type >) violates rule 'Avoid namespaces mutually dependent';FluentAssertions .TypeEnumerableExtensions .ThatSatisfy(IEnumerable<Type> ,Func<Type,Boolean>) violates rule 'Avoid namespaces mutually dependent';FluentAssertions .TypeEnumerableExtensions .UnwrapTaskTypes(IEnumerable<Type> ) violates rule 'Avoid namespaces mutually dependent';FluentAssertions .TypeEnumerableExtensions .UnwrapEnumerableTypes(IEnumerable <Type>) violates rule 'Avoid namespaces mutually dependent'",15,E,118.73
